time, adc1, adc2, adc3, adc4, gx, gy, gz 
14:34:34.879637, 1022, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.881090, 1023, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.881620, 1023, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.882096, 1023, 1023, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.882591, 1023, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.883088, 1023, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.883552, 1023, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.884018, 1023, 1022, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.884481, 1022, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.884967, 1022, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.885430, 1023, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.885890, 1023, 1022, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.886355, 1022, 1023, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.886826, 1022, 1022, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.887297, 1022, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.887758, 1023, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.888217, 1022, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.888706, 1023, 1023, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.889262, 1023, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.889732, 1023, 1023, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.890193, 1022, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.890657, 1023, 1022, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.891116, 1022, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.891579, 1023, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.892041, 1023, 1023, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.892517, 1023, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.893005, 1022, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.893468, 1022, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.893930, 1023, 1023, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.894389, 1023, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.894851, 1022, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.895311, 1023, 1023, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.895772, 1023, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.896231, 1022, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.896694, 1023, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.897155, 1022, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.897639, 1023, 1022, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.898103, 1022, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.898563, 1022, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.899066, 1023, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.899528, 1023, 1023, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.899991, 1023, 1022, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.900450, 1022, 1023, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.900910, 1023, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.901368, 1022, 1022, 1022, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.901830, 1022, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.902293, 1023, 1023, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.902777, 1023, 1022, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.903239, 1023, 1022, 1023, 1023, -21.000000, 45.000000, -12.000000 
14:34:34.903698, 1022, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.904158, 1023, 1023, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.904616, 1022, 1022, 1022, 1022, -21.000000, 45.000000, -12.000000 
14:34:34.905078, 1023, 1023, 1023, 1022, -21.000000, 45.000000, -12.000000 
